exp_id,results_dir,dummy,config_id,benchmark,source,engine,kafkas,cloud,vmtype,instances,max_resources,load,resources,cluster_fee,vm_cost,fs_write_cost,fs_read_cost,pubsub_cost,total_cost
49,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,3,7.0,700,4,0.1,0.5180039999999999,0.0,0.0,0.03000392,0.6480079199999998
49,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,3,7.0,800,4,0.1,0.5180039999999999,0.0,0.0,0.03000448,0.6480084799999999
49,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,3,7.0,900,4,0.1,0.5180039999999999,0.0,0.0,0.03000504,0.6480090399999999
49,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,3,7.0,1000,5,0.1,0.5180039999999999,0.0,0.0,0.0300056,0.6480095999999999
49,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,3,7.0,1100,5,0.1,0.5180039999999999,0.0,0.0,0.03000616,0.6480101599999999
49,results-gcp,False,10,uc3,http,samza,3,gcp,e2-standard-4,3,7.0,1200,5,0.1,0.5180039999999999,0.0,0.0,0.03000672,0.6480107199999999
5,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,2,2.0,0,1,0.1,0.5408473,0.0,0.0,0.0,0.6408473
5,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,2,2.0,100,1,0.1,0.5408473,0.0,0.0,0.03000056,0.67084786
5,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,2,2.0,200,2,0.1,0.6044894,0.0,0.0,0.03000112,0.7344905199999999
5,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,2,2.0,300,2,0.1,0.6044894,0.0,0.0,0.03000168,0.73449108
6,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,3,5.0,400,3,0.1,0.6681315,0.0,0.0,0.03000224,0.7981337399999999
6,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,3,5.0,500,4,0.1,0.7317735999999999,0.0,0.0,0.0300028,0.8617763999999999
6,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,3,5.0,600,4,0.1,0.7317735999999999,0.0,0.0,0.03000336,0.8617769599999999
6,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,3,5.0,700,5,0.1,0.7954157,0.0,0.0,0.03000392,0.9254196199999999
7,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,4,,800,6,0.1,0.8590578,0.0,0.0,0.03000448,0.98906228
7,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,4,,900,6,0.1,0.8590578,0.0,0.0,0.03000504,0.98906284
7,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,4,,1000,7,0.1,0.9226999,0.0,0.0,0.0300056,1.0527055
7,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,4,,1100,8,0.1,0.9863419999999999,0.0,0.0,0.03000616,1.1163481599999998
7,results-gcp2,False,101,uc3,http,flink,3,gcp-autopilot,e2-standard-4,4,,1200,8,0.1,0.9863419999999999,0.0,0.0,0.03000672,1.11634872
